2	in this frame a speaker asks an addressee for something, or to carry out some action.	(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed;
3.2	a piece of evidence indicates that an event occured, or metonymically, entity had formerly existed, in a location.	an indication that something has been present;
1.2	a competition comes to an end, with a competitor tying, winning, or losing against an opponent (or opponents) according to their score. (in the symmetrical situation of a tie, the competitor and opponent may be jointly mentioned as competitors.) according to the score that the competitor and opponent have achieved, they may receive a rank or a prize. the margin may also be mentioned.	finish third or better in a horse or dog race;
2.6	Drug lord captured by marines in Mexico	Suspected drug lord known as ‘El Taliban’ held in Mexico
4.4	SC dismisses govt's review plea in Vodafone tax case	SC dismisses govt's review petition on Vodafone tax verdict
2.6	Explosion hits oil pipeline in Syria's Homs	Explosion hits pipeline as Assad attacks cities
3.8	NATO Soldier Killed In Afghan Attack	NATO soldier killed in S. Afghanistan
4.2	Castro celebrates 86th birthday Monday	Fidel Castro celebrates 86th birthday
3	Israel ex-spy warns against 'messianic' Iran war	Israeli ex-spy boss: no trust in leadership over Iran – video
3.8	Eye Opener: Supreme Court rules on Arizona immigration law	U.S. Supreme Court issues split ruling on Arizona immigration law
3.2	NATO traces path out of Afghanistan	NATO Leaders Commit to Afghanistan Transition
4	Syria says suicide bomber kills 10 in Damascus	Damascus 'suicide bombing' kills 10
0.8	Sachin Tendulkar says I'm not God, I'm Sachin	Sachin Tendulkar scores cricket's first 100th century
1.4	Tropical storm heads for pass along Honduras coast	Tropical storm warnings for Southeast coast
2.4	Australian PM Gillard set to win leadership challenge	Australian PM defiant under pressure over leadership
2.4	Obama backs Philippines over South China Sea	Obama says clear rules needed to calm South China Sea
3.2	Teenager in China kills 8, wounds 5 in knife attack	Teenager kills 8 in knife attack
3.8	Syrian rebels move command from Turkey to Syria	Free Syrian Army moves headquarters from Turkey to Syria
0.4	Knesset speaker: Obama reelection bad for Israel	7 states sue over Obama administration's birth control rule
4.4	Netanyahu set to call early vote	Israel's Netanyahu set to call early vote
2.8	Greece bond exchange the largest debt restructuring in history	Greece secures biggest debt deal in history
1	Putin 'Wins Russian Presidential Election'	Polls open in Russian presidential election
0.75	Suicide bomber kills 12 in Nigeria church	Suicide bomber kills 21 in NW Pakistan
0.2	Indian finance minister quits to run for president	Julian Assange Plans to Run for Australian Senate
3.8	Jerry Sandusky found guilty in child sex abuse trial	Sandusky found guilty in child sex abuse trial
2.4	Three Tibetans self-immolate in western China: report	7 Tibetans self-immolate in China
3.6	White House in damage control over Obama Supreme Court remarks	Fact check: Obama's Supreme Court remarks
2	Annan warns talks of Syria risks	Putin, Annan meet on Syria crisis
1.4	Quartet calls on Israelis, Palestinians to end irritants	Occupation to confiscate 30 dunums of Palestinian land in Deir Estia
4.8	Saudis to permit women to compete in Olympics	Saudi Women Allowed To Compete At Olympics
2.2	Nigeria university mass attacked by gunmen	Nigeria: University Bombed in North
3.4	US says ready to help blind Chinese activist	U.S. ready to help Chinese activist: official
3.2	China's Cabinet promises to boost economy	China's Wen promises job creation
1.8	Annan, UN chief call on Security Council to act on Syria	Russia, China veto UN Security Council resolution on Syria
4	Green Lantern to be reintroduced as gay by DC Comics	Green Lantern to be relaunched as gay superhero
1	Military plane crashes in south France: authorities	Military plane crashes in southeastern Turkey, 1 dead
1	Tropical Storm Isaac boosts jobless claims	Tropical Storm Joyce forms, stays in open Atlantic
4.8	Gazans fire 2 rockets into Israel; no injuries	2 Gaza rockets hit Israel; no injuries
3.2	Freddie Starr Arrested In Savile Abuse Probe	Third man arrested in Savile sex abuse probe
5	Romney announces Paul Ryan as running mate	Romney names Ryan as running mate
3.6	Stocks rise early after Greek deal, then flatten	Stocks edge higher after Greek debt deal
4	Suicide bombing rocks elite Yemen military camp	Suicide bombers attack Yemen military posts
2.2	NATO: 2 International Troops Killed in Afghanistan	Three NATO troops killed in one day in Afghanistan
1.8	Moscow protesters demand Vladimir Putin's resignation	Moscow protest against Vladimir Putin smaller and quieter
0.6	Saudi gas truck blast kills at least 22	Nigeria church blast kills at least 12
1	French election turnout higher than expected	French presidential election: first round - live updates
4.4	Australia to establish the world's largest marine reserve	Australia creates world's largest marine reserves
1.6	Two U.S. soldiers shot, killed by Afghan soldier	Two British soldiers killed by Afghan policeman
1.4	Italy soldiers die in Afghanistan	Two UK Soldiers Killed In Afghanistan
4	Abbas to lead Palestinian unity government	Abbas proposed as PM in interim unity government
2.8	Egypt’s Coptic Church Names New Pope	Egypt's Coptic Church Prepares to Choose Pope
3.6	Malawi Officially Confirms President's Death	Malawi confirms President Mutharika's death
3.8	Mali's Tuareg rebels declare independence	Mali rebels declare independent 'Azawad'
1.4	Lance Armstrong stripped of Tour de France titles	Lance Armstrong plots strategy after loss of titles
1	Egypt votes on final day of presidential election	Polls open in France for presidential election
0.4	Berri says ready to help launch national unity government	The perception of Spain has changed dramatically with this government
0.6	Is Madeleine McCann Still Alive?	Reopen Madeleine case, police urge
1.8	13 dead in Iraq bomb attacks	16 killed in north Iraq attacks
1.4	Aussie surfers find stricken asylum seekers	Mayday: fears for asylum seekers
3	ISAF: 4 coalition troops killed in attack involving Afghan police	NATO says four troops killed in "insider" attack in Afghan south
4.6	Coty launches $10 billion bid for rival Avon	Coty bids $10 billion for Avon
3.2	UN Security Council unanimous vote on Syria	UN Security Council to vote on up to 300 Syria monitors
5	Gunman kills 6 in shooting at Wisconsin Sikh temple	Gunman kills six in shooting at Sikh temple in Wisconsin
0.6	Audi to buy motorcycle maker Ducati	Probe into motor insurance market
2.4	Hurricane Isaac Moves Inland After Landfall	Hurricane Isaac batters US coast near New Orleans
4.2	China news agency: Still hope for Syria peace	China state news agency: There's still hope for Syria peace
0.4	22 dead in suicide attack on Yemen police academy	AU forces intensify attack on Somali rebels
1.2	South Korea Orders Immediate Shutdown of 2 Nuclear Reactors	South Korea to boost nuclear power?
1.6	Nigeria mourns over 193 people killed in plane crash	Nigeria opens probe into deadly air crash
1.6	US, allies to set demands for Iran nuclear talks	'Iran won't accept pre-conditions to nuclear talks'
4.8	AOL says to sell 800 patents to Microsoft for $1.0 bn	AOL to sell 800 patents to Microsoft for $1 billion
1.2	Thousands of troops to march for Jubilee	Thousands flock to Amsterdam for Queen's Day
0.8	Middle East: Israel: Hamas Leader Convicted	Middle East: Iraq: 17 Prisoners Escape in Kirkuk
4.2	Navy Jet Crashes Into Apartment Building	US Navy Jet Crashes into Apartment Block
0.6	Woman dies after abortion refusal	Woman dies after cliff collapses in Dorset
1.8	Greece votes in crucial election	Greece looks set for repeat election
2.2	U.S. and Turkey weigh no-fly zones for Syria	U.S. and Turkey Tighten Coordination on Syria
3.6	Death toll rises to 236 after Brazzaville blasts	Rep. of Congo: 236 Dead After Arms Depot Blasts
1	I'll Have Another retired to stud	I'll Have Another wins Preakness
0.6	Syria journalists rescue bid fails	Journalists smuggled out of Homs
1.8	New sex claim hits Secret Service	New rules for US Secret Service
1.2	Iran warns Moscow nuclear talks could stall	Iranians “confess” to nuclear scientist murders
4.6	Mohamed Morsi sworn in as Eygptian president	Mohamed Morsi sworn in as Egypt's President
0	Rimsha Masih released on bail	Mandela released from hospital
0	1 person killed in sectarian clashes in Lebanon	180 killed in Iran earthquake
3.2	ICC jails Congolese warlord for 14 years over child soldiers	Congolese warlord sentenced to 14 years in landmark case - video
0	Gains in financial stocks push up European equities	British Christians take complaints to European court
1.6	Turkey Raises Alarm Over Syrian Refugees	Turkey seeks to relocate some Syrian refugees
1.4	1 person killed in sectarian clashes in Lebanon	Nine killed in Syrian-linked clashes in Lebanon
1.6	Suspected al-Qaeda financier arrested in France	Three al Qaeda suspects arrested in Spain
1.6	No damage, tsunami after 6.6 quake hits off Indonesia's Sumatra	5.9 quake hits Indonesia s Sumatra: USGS
3.2	IAF strike Gaza terror hubs	IAF strikes Gaza terror cell; 1 dead
2.2	Israeli air strikes kill 16 in Gaza	Israel air strikes kill 4 in Gaza; death toll now at 38
1.4	18 killed, 108 wounded in wave of bombings in Iraq	9 killed, 31 wounded in car bombs in Iraq's Kirkuk
2	Palestinian prisoner ending hunger strike after deal	Israel to free Palestinian hunger striker
3.4	Hezbollah confirms it sent drone downed over Israel	Hezbollah says it sent drone over Israel
3.2	Rebel fighters 'capture' Syrian soldiers	Free Syrian Army captures Syrian officers
2.4	Colorado shooting suspect was under psychiatrist's care	Doctor treating Aurora shooting suspect had medical reprimand
4.8	6.6 quake rocks Indonesia's Papua: USGS	6.6 quake rocks Indonesia's Papua: US Geological Survey
2.8	US senators penalize Pakistan for jailing doctor who aided CIA	US decries Pakistan doctor's fate
0.4	What time is Andy Murray v Roger Federer in the Wimbledon men's final? All you need to know about the big game	What time is the Paralympic Opening Ceremony? Everything you need to know about the big curtain-raiser
3.6	New Jersey School Bans Hugging	US school bans hugging
4.6	Iran (Islamic Republic of): Iran steps up relief efforts after quakes kill 227	Iran steps up relief efforts after quakes kill 227
2.4	Tsunami warning issued for southern Alaska	Tsunami warning after Canada quake
0.8	'No Evidence' In Afghanistan Massacre Case	US toll in Afghanistan hits 2,000
3.8	Cash-rich Apple to pay dividend, buy back shares	Apple to pay $2.65/share dividend, buy back $10B stock
0.4	7 soldiers killed, 56 injured in PKK attack in eastern Turkey	3 killed, 14 injured in attacks in Iraq
4.6	Two reported dead in shooting at Empire State Building in NY	2 dead in shooting outside Empire State Building
1	Australian unemployment up to 5.1 percent	French unemployment rate rises to 10 percent
0.4	Shares Move Higher on Wall Street	Sandy strengthens as nears coast; Wall Street shut
2.6	Halliburton 1Q income rises 23 pct	Halliburton Q1 profits rise on strong North America sales
0.8	Syrian envoy to Cyprus defects to Qatar	Syria deploys more troops despite peace deal
0.8	4 killed in shrine bombing in northwest Pakistan	12 killed in U.S. drone strike in NW Pakistan
1.6	China stocks close mixed Friday	China stocks open lower Friday
0.8	India bans bulk texts after riots	Tunisia lifts curfew after riots
2.4	UN monitors yet to reach site of Syrian 'massacre' – video	UN monitors shot at on way to Syrian massacre site
3.6	Yorkshire soldier killed in Afghan bomb blast	Soldier killed in Afghanistan blast
3.75	Radical Islamists in Mali enlist new militia	Local Militia Bolsters Islamist Militants in Mali
4.2	Olympics Opening Ceremony A Hit Around Globe	Opening ceremony gives Olympics a rocking start
4	Schiphol airport partly evacuated after bomb threat	Schiphol airport evacuated due to bomb threat
4.8	Man killed in French terror raid	Man dies in French 'anti-terror operation'
3.8	Dali painting stolen from gallery	Salvador Dali painting snatched from New York gallery
5	Capello quits as England manager	Capello resigns as England manager
3.2	One dead in Ohio school shooting	1 dead, 4 wounded in Ohio school shooting
2.4	2 Palestinians killed in Israeli airstrikes	Four Palestinians killed in IAF strike
3.2	Pakistan condemns U.S. drone strikes	Pakistan convoy heads to protest US drone strikes
4	Massive Hurricane Sandy bears down on U.S. East Coast	Hurricane Sandy gains speed, batters US east coast
3.6	Sarkozy to File Complaint in Gadhafi Funding Claim	Sarkozy to sue after Gaddafi cash claim bursts into campaign
2	The Note's Must Reads for Wednesday July 4, 2012	The Note's Must-Reads for Wednesday, May 30, 2012
4.4	'Iran will attack Tel Aviv if Israel strikes'	Senior cleric: Iran will attack Tel Aviv if Israel strikes
3.8	Annan urges end to Syria violence, minister defects	Annan urges end to Syrian violence
0	Gusmao consolidates power in East Timor elections	Supreme Court possibilities if Romney wins election
0.6	Pena Nieto wins Mexico presidential vote: exit polls	Poll: Putin to win Russia presidential vote
3.4	Syria tells Russia some troops have pulled out of Homs	Syria says troops have begun pullout – video
2.6	Nigeria plane crash: No survivors	4 Chinese among Nigeria plane crash victims
0.8	MIER ups 2012 growth forecast to 4.2pc	CMIE cuts 2012-13 growth forecast to 6.3%
2.8	Explosion at Venezuela Refinery Kills at Least 39	Venezuela mourns oil refinery blast deaths
3.6	Strong earthquake hits Mexico	Strong earthquake strikes near Acapulco
3.8	Russia, China veto UN resolution on Syria killings	Russia, China in double veto of UN Syria resolution
4.2	Colorado shooting suspect was in therapy	Lawyers: Colo. shooting suspect is mentally ill
1.6	Suicide bomber kills 4 near NATO's Afghan HQ	Suicide bomber kills 23 at Afghan wedding
2.6	Pakistani plane crashes with 127 on board	Pakistani Plane Crashes With 130 People On Board
4.4	UN security council orders global sanctions against Haqqani network in Afghanistan	UN orders global sanctions against Haqqani network
0	Erdogan and Putin talked in raised voice	Foreign militants killed in Somalia in strike on car
4	Saudi Arabia arrests suspected militants with al-Qaeda links	Saudi Arabia arrests suspected militants, state media reports
4.8	Hurricane Sandy Closes in on US East Coast	Hurricane Sandy takes aim at US East Coast
2.2	Chicago teachers strike: Vacations for students, for good or ill	Chicago teacher strike poses test for unions
1.6	Panetta says Afghanistan role to shift from combat in 2013	Panetta: Afghanistan Tops NATO Conference Topics
4	Four men admit London Stock Exchange bomb plot	Four men admit London bombs plot
3.8	PM in Tehran, asks NAM to take clear stand on Syria	Manmohan in Tehran, asks NAM to take a stand on Syria
1.6	Israel threatens action against Gaza aid ship	Israel attacks in Gaza Strip after rocket fire
3.8	Bodies Found at Russian Jet Crash in Indonesia	12 bodies found at Russian jet crash in Indonesia
1.4	Senators can return to playoffs with victory	Messi scores 4 to send Guardiola off with victory
1	Syria urges refugees to return	Syria's tenuous truce takes hold
4.2	US soldier kills up to 16 civilians in Afghanistan	US soldier kills up to 16 Afghan civilians in shooting spree
1.2	Rupert Murdoch: I was the victim of a cover up	Rupert Murdoch set for second day of grilling
0.4	Barack Obama's bodyguards sent back to US after prostitution scandal	Barclays boss falls to rate fixing scandal
3.8	China's yuan rises to new high against USD Wednesday	China's yuan advances to 6.3103 against USD Wednesday
3.6	South Africa train crash kills at least 19	South Africa train crash kills 26
4	Nissan to sell steer-by-wire cars	Nissan to offer steer-by-wire systems in some Infiniti cars
3.8	Tibetan monk dies after setting himself on fire in protest against Chinese rule	Teenage Tibetan monk dies after setting himself on fire in China
1	Mumbai is 2nd costliest Indian city to live in	Tech capital Bangalore costliest Indian city to live in: Survey
3.8	Man, 19, quizzed over teen murder	Man quizzed over Megan-Leigh murder
3.4	Israel kills Hamas commander, bombs Gaza targets	Israel airstrikes kill Hamas commander, 5 others
1.8	Civilians Bear Brunt of Afghan Attacks	Taliban launch coordinated Afghan attacks
3.6	Gusmao consolidates power in East Timor elections	Gusmao powers on in East Timor
4.4	UN monitors yet to reach site of Syrian 'massacre' – video	UN monitors unable to reach site of Syria killings
3.8	Russia, China veto UN resolution on Syria endorsing	Russia, China veto U.N. draft backing Arab plan for Syria (Reuters)
4.8	NATO Condemns Syria's Downing of Turkish Military Jet	NATO strongly condemns Syria's downing of Turkish jet
1.4	Activists: Syrian troops storm Damascus suburb	Activist says Syrian citizen cameraman killed in Homs
0.8	Syria rebels attack Lebanese post near border: army	Turkish army stages tank exercises near Syria border
0.2	Five killed in China building collapse	At least 20 killed in Syria Saturday
3.4	Syrian forces launch new attacks	Syria forces launch Aleppo attack
0.2	Syrians trade blame over blasts	Israel braces for Arab protests
1.4	Gazans fire 2 rockets into Israel; no injuries	Gazans fire 89 rockets; cabinet approves reserve call-up
4.6	Former Nazi death camp guard Demjanjuk dead at 91	John Demjanjuk, convicted Nazi death camp guard, dies aged 91
3.8	Boris Johnson re-elected London mayor	Johnson re-elected London mayor
1	Breivik drops far-right salute in court	Breivik gets 21-year sentence
1.4	Second teenager charged with murder	Brother of EastEnders actress Gemma McCluskie is charged with her murder
0.8	French Fear New Serial Killer After Murders	Jersey Murder Trial: Killer 'Hearing Voices'
4.2	US: Madoff brother to plead guilty in NY in fraud	Madoff's brother to plead guilty to fraud
1.8	Hollande defeats Sarkozy in French presidency vote	Polls open across France in presidential election
3.2	Libyan government retakes Tripoli airport	Libyan militia takes control of Tripoli airport
4.6	Clinton warns Kenya of cost of election violence	Clinton warns Kenya on cost of election unrest
4.6	Arkansas Supreme Court strikes down execution law	Arkansas Justices Strike Down Death Penalty
4.2	S. Africa's former president Mandela discharged from hospital	Mandela Discharged From Hospital
0.2	UN envoy in Turkey for talks on Syria	NZ to increase exports to China
1	Islamist Morsi Wins Egypt's Presidential Election	Al-Shater to run in presidential election in Egypt
1.6	Donna Summer, the queen of disco	Donna Summer, Queen of Disco, Dies at 63
3.6	Bangladesh Muslims torch Buddhist shrines, police say	Muslims torch Buddhist temples
0.4	U.S. Drone Kills Five Militants in Pakistan	Six Police Officers Killed in Attacks in Dagestan
0	Mali future interim president readies to take office	Pope rips into dissident priests on celibacy
1.2	9 killed, 168 injured in latest Cairo clashes	10 killed, 12 injured in E. Afghan airport suicide blast
1.8	Tehran: EU sanctions won't force Iran into nuclear talks	Low expectations for Iran nuclear talks
2.2	Portugal Drownings: UK Girl And Grandad Named	British Girl And Grandad Drown In Portugal
3.8	Romney wins Maine Republican caucuses	Romney, in comeback, has narrow Maine caucus win
3.8	Court in Bahrain rejects medics' last rally appeal	Bahrain rejects activists' appeal
3.6	Hurricane Sandy powers toward Eastern Seaboard	Hurricane Sandy moves towards US
0	Clinton calls for friends of Syria to unite	Plastic artist calls for greater support for new talents
0	JK Rowling launches her first adult novel	Syria launches ground assault in Aleppo
2.4	Algerian government parties dominate elections	Algerian national turnout of parliamentary vote reaches 44.38 pct
0.6	Security official killed in Yemen	Security personnel killed in Pakistan raid
3.2	US stocks fall as Greek talks lumber; Apple falls	US stocks slip on Wall Street as Greek talks drag on
5	Romney picks Ryan as vice presidential running mate: source	Romney to tap Ryan as vice presidential running mate
1	NATO sticks to transition roadmap in Afghanistan: Rasmussen	NATO helicopter makes hard landing in E. Afghanistan
1.4	Mubarak faces verdict in murder trial	Mubarak's sons face new charges of insider trading
2	No blocks to investment	India allows Pakistan investment
2.6	Blast kills 11 in northwestern Pakistan	Bomb Kills 19 In Northwest Pakistan
0.8	5 aid workers freed in operation in Afghanistan	Suicide bomber kills 37 at mosque in Afghanistan
3.6	Two NATO soldiers killed in Afghanistan	NATO Soldier Killed in Afghan Blast
4	Nadal tumbles into French Open final	Nadal through to seventh French Open final
3.2	Russian TV reports foiled attempt on Putin	Russia, Ukraine foiled plot to kill Putin, report says
4.4	Putin claims victory in Russia's presidential election	Putin wins disputed Russian presidential election
1.6	Israeli Leader Puts Off Evicting Settlers From Hebron House	Israeli army orders settlers out of Hebron house
0.4	Government promises action on Heathrow queues	Finance minister promises no new taxes
5	Remains of 167 bodies found in Mexican cave	Remains of 167 people found in Mexico cave
4	orphaned alps massacre girl returns to uk	Alps attack: Girl returns to UK
2.8	Obama team raises debate stakes	Obama takes offensive against Romney in debate
0.8	Two Kenyan ministers among 6 killed in plane crash	Poland honors president killed in 2010 plane crash
3.2	Iran, powers set for high-stakes nuclear talks	U.S., Iran prepare for Istanbul nuclear talks
2.8	Thousands gather for new Russian anti-Putin rally	Thousands gather in Moscow for rival rallies
1.2	Syrian forces kill teen in Aleppo protests	Syrian forces kill 3 protesters in Damascus-activists
3.8	Google names new Motorola Mobility CEO	Google appoints Dennis Woodside to run Motorola Mobility
4.4	Massive Hurricane Sandy bears down on U.S. East Coast	Hurricane Sandy takes aim at US East Coast
2.33333333333333	Egyptian president moves into Mubarak's old office	Egypt's President-Elect Morsi Starts to Form Government
3.4	Another rocket hits Eshkol; no injuries	2 rockets hit Eshkol; none injured
0.4	Japan falls silent to mark 311 tragedy	Japan thanks Taiwan for quake aid
3.8	Thousands more Syrian refugees flee to Turkey overnight	8,000 Syrian refugees flee to Turkey overnight
4	Assange appeals extradition to UK's top court	Assange to appeal extradition to UK's top court
2	Strong quake jolts most parts of Pakistan	Strong quake hits eastern Indonesia
1	Lebanese Gunmen Clash Over Syria Crisis	Syrians hold solution to Syria crisis
3.6	Syrian troops kill 35 in Damascus suburb	Activists: Syrian troops kill dozens near Damascus
4	Mob kills man for burning Quran	Pakistani Mob Kills Man 'for Burning Koran'
1.8	US drone strike kills four in North Waziristan	U.S. drone strike kills 10 in northwest Pakistan: officials
4.6	Salvador Dali painting snatched from New York gallery	Salvador Dali painting snatched in NYC
1.8	Putin claims victory in Russia's presidential election	Will Putin's Election Victory in Russia Be Greeted with Protests?
4.2	Sarkozy announces re-election bid	France's Nicolas Sarkozy makes his reelection bid official
4.6	US, UK in pact to release emergency oil stocks	US, UK Set to Agree Emergency Oil Stocks Release
3.4	Suspicious object found in Tel Aviv not explosive device	Police treat suspicious object at Tel Aviv bus station
3	Eurozone unemployment stays at record 11 percent	Eurozone unemployment at record high in June
3.8	French Socialist Party wins parliament victory	French Socialists win absolute parliament majority
0.6	Salafi Islamists, police clash in Tunis - witnesses	Second Islamist hunger striker dies in a Tunisian prison
3.8	Strauss-Kahn investigated in French prostitution ring	Dominique Strauss-Kahn faces questions over French prostitution ring
1.8	Romney wins Florida Republican primary	Romney eyes US Republican primary endgame
2.6	US drone strike kills four in North Waziristan	Suspected drone strike kills 4 in Pakistan
2.6	At least 15 killed in Nigeria church attack	At least 12 killed in Nigeria church bombing
2.4	2 Traffic Accidents Leave 47 Dead in China	3 traffic accidents leave 56 dead in China
0	Head of CIA resigns over affair	Hall of Fame beckons for Capriati
4	France's Strauss-Kahn charged with involvement in prostitution vice ring	Strauss-Kahn charged in prostitution vice ring
3.6	Sony reports record annual loss	Sony forecasts record annual loss of $6.4bn
0.4	12 killed in Gaza in Israeli airstrikes	Ictu, Ibec in move on airline strike
1.4	9 killed in attacks after deadly Iraq day	19 Killed in Iraq Attacks ahead of Ramadan End
4.4	Barclays hit by fresh U.S. investigations	Barclays hit by fresh US probe
0.4	US closes embassy in Syria (AP)	Closed roads in Armenia
1.25	Jaguar to create 1,100 jobs in UK	Royal Mail to create 1,000 jobs
4.4	EU heaps new sanctions on Syria	EU imposes new sanctions on Syrian regime
2.2	US drone strike kills 8 militants	US drone strike kills four in NWA: officials
3.4	Russians rally against Putin's rule	Tens of thousands rally against Putin's rule (AP)
4	Bahrain Grand Prix Underway Amid Protests	Bahrain race goes ahead amid unrest
1.4	China stocks open flat Monday	Chinese stocks open mixed Wednesday
4.6	Sheryl Crow says has benign brain tumor	Sheryl Crow Has a Benign Brain Tumor
2.6	Obama endorses same-sex marriage	Obama's delicate dance on same-sex marriage
4.2	Iraq searches Syria bound Iran plane: officials	Iraq searches Syrian-bound Iranian plane
3.8	Afghan parliament approves U.S.-Afghan security pact	Afghan parliament approves U.S. partnership
0.6	Two German tourists, two pilots killed in Kenya air crash	Senator Reid involved in Las Vegas car crash: CNN
3.6	Israeli, Palestinian negotiators quietly meet	Israeli, Palestinian negotiators meet in Jordan
3.6	US astronaut Neil Armstrong dead at 82	US astronaut Neil Armstrong dies
4.2	Amnesty: Syria rebels also committing abuses	Amnesty investigator: Syria rebels also committing abuses
1.6	Mitt Romney wins Republican primary in Indiana	Romney wins Florida Republican primary
4	East German rights activist Gauck elected president	Joachim Gauck elected as German president
2.4	South Africa starts investigating mine violence	South Africa hosts 'peace talks' in mine standoff
2.6	Syria fighting rages as Russia urges Western re-think	Syria fighting rages in capital, Russia pressed
0.4	3 dead, 27 injured in SW China accident	35 dead and 165 missing in India boat accident
3.6	Erdogan's party submits plan for Turkish presidency	Erdogan's party aims for Turkish presidency
1	Santorum Romping To Minnesota Victory	Santorum wins Kansas caucuses
4.8	Jordan Opens First Tent Camp for Syrian Refugees	Jordan Opens First Refugee Camp for Syrians
4	Space legend Neil Armstrong dies	First man on moon Neil Armstrong dies at 82
4.8	U.S. and Turkey weigh no-fly zones for Syria	Turkey, US weigh no-fly zones for Syria
0.8	Man arrested over double murder	WA man arrested in police drug raid
2.8	Florida counties extend early voting	Fla. Democrats want extended early voting hours
3.8	Warship sets sail for Falklands	British Warship Sets Sail for Falklands
1	Newcastle 2-0 Liverpool: Match report, pictures & video highlights	QPR 1-2 West Ham: Match report, pictures & video highlights
2.8	Palestinian prisoners to end hunger strike	Progress reported in Palestinian prisoner hunger strike talks
1	Police: Four killed in German hostage taking incident	Palestinians: 12 killed in IDF strike in northern Strip
4.25	Egypt lets Mubarak PM back in presidential race	Egypt confirms Mubarak's PM back in presidency race
0.6	Syrian journalists killed in capital	US Marines killed in base attack
2.4	GOP candidate Romney to call to arm Syrian rebels	US helping get arms to Syria rebels
4.4	U.N. observer patrol arrives at Syria massacre site	UN observers reach Syria massacre village
0.4	Publisher acquitted in privacy case	PBS publishes new guidelines on impartiality
0	American Airlines and Pilots Agree on a New Contract	Romney pledges to 'stand with Israel' on Iran threat
2.8	Greek PM to announce new election	Greek PM calls for May 6 general election
1.6	Government of Canada Supports Montréal Women Leading Change	Government of Canada Supports Women's Safety in Regina
3.2	No problem if Mulayam forms Third Front: Congress	No problem if Mulayam forms third front: Digvijay
0	Bradley triumphs at Firestone as Furyk fades	Bahrain court upholds sentences against uprising leaders
0	Samsung overtakes Nokia in phones	Charges over dog attack on police
2.2	Plane crash in Ghana kills at least 10	Plane Crash in Ghana: How the international media reported it
5	Gu Kailai murder trial ends in China	Gu Kailai's Murder Trial Ends in China
4.8	Eurozone backs Greek bailout	Eurozone agrees Greece bail-out
1.8	Six US troops killed in Afghan bomb attack	6 NATO troops killed in Afghanistan
1.6	Syria forces launch Aleppo attack	Syrian forces kill 54 ahead of Annan peace mission
1	Romney, Obama fight for edge on Medicare	Obama, Romney compete for undecideds, stoke base
4.8	Two blasts hit Syria capital	Two blasts rock Syrian capital
3.6	BBC director general resigns over 'shoddy journalism'	BBC Director General Resigns amid Newsnight Scandal
4.8	Rick Santorum wins Kansas caucuses	Rick Santorum notches a victory in Kansas caucuses
3.2	In Islamist-led Egypt, Coptic Church names new pope	Egyptian Christians choose new pope
5	US pledge to rebuild Haiti not being met	US Pledge to Rebuild Haiti Not Being Met
1	Chinese stocks close higher Thursday	Chinese stocks open mixed Wednesday
3.6	Greece to vote on 2013 budget; protesters gather	Greece to vote on 2013 budget
4.4	Not 'hiding the ball' on Russia: Obama	Obama says he's not 'hiding the ball' on Russia
4	U.S., EU Cautiously Welcome Iran's Proposal To Restart Nuclear Talks	U.S., EU welcome Iran's offer to restart nuclear talks
2.6	Barack Obama's personal evolution on same-sex marriage	Obama backs same-sex marriage
2.8	Clinton warns Kenya of cost of election violence	Clinton warns Kenya on repeat of 2007 vote chaos
4.8	England captain Andrew Strauss retires from professional cricket	England captain Strauss retires from cricket
3.8	Anti-American Protests Over Film Expand to Nearly 20 Countries	Anti-American fury sweeps Middle East over film
1	Journalists hail London Olympics opening	Israeli delegation marches in 2012 Olympics opener
1.5	Aust stocks open lower	Tokyo stocks open lower
3.4	WikiLeaks begins publishing two million Syria emails	WikiLeaks Releasing Trove of Syria Documents
3	Palestinians: 2 Gaza militants killed in Israeli airstrike on coastal strip	Officials: Gaza man killed in Israeli airstrike (AP)
4.6	Mali's President Hands in Resignation	Mali's President Formally Resigns
3.6	China backs Sri Lanka on UN resolution	War crimes: China backs Lanka on UN resolution
1.4	Three killed in Nigeria suicide bombers attack	60 killed in Nigeria cattle market attack
1.6	FACTBOX-Security developments in Iraq, February 1	FACTBOX-Security developments in Pakistan, March 13
4.2	HRW: Jordan biased against Palestinians from Syria	Jordan biased over Palestinians from Syria
3.8	Israel among top arms exporters in world: report	Israel among top arms exporters and importers
0.8	Egyptians to vote for new president	Somali MPs to elect new president
5	Federer Wins 7th Wimbledon Title	Federer captures 7th Wimbledon title
3.6	Qaida leader calls for kidnap of Westerners in Egypt	Al-Qaida Leader Urges Kidnapping of Westerners
2.6	China stocks close mixed Friday	Chinese stocks close higher midday Friday
3.8	Ton up: Tendulkar reaches 100th international hundred	Sachin Tendulkar's reaches 100 centuries - in pictures
1.6	Police disperse protest in east Sudan - witnesses	Police disperse east China chemical plant protesters
1.6	43 killed in bus crash	15 killed in crash in India
4	Putin sworn in as Russian president	Putin sworn in as Russia's president for 6 years
0	China trade returns to surplus in March	Tense calm returns to south Tel Aviv
2.2	Highlights of the Vice Presidential debate	Five things to watch in the presidential debate
2.2	2 pro-Palestinian activists arrested at B-G Airport	Dozens of 'flytilla' activists protest at Paris airport
